location,Basel
lat,47.75000
lon,7.50000
asl,363.653
variable,Temperature
unit,°C
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,Basel Temperature [2 m elevation corrected]
20230130T1000,-1.2497545
20230130T1100,-0.03975457
20230130T1200,0.89024544
20230130T1300,1.9302454
20230130T1400,2.5202456
20230130T1500,3.0302453
20230130T1600,3.2302456
20230130T1700,3.0802455
20230130T1800,2.9202452
20230130T1900,2.6102452
20230130T2000,2.4302454
20230130T2100,2.1202455
20230130T2200,1.9802454
20230130T2300,1.9302454
20230131T0000,1.9402454
20230131T0100,1.7202454
20230131T0200,1.8302454
20230131T0300,1.5002453
20230131T0400,1.1102455
20230131T0500,0.8502454
20230131T0600,0.3702454
20230131T0700,0.020245433
20230131T0800,-0.08975458
20230131T0900,-0.4297546
20230131T1000,0.14024541
20230131T1100,1.5102453
20230131T1200,2.8802452
20230131T1300,4.0402455
20230131T1400,5.020245
20230131T1500,5.110245
20230131T1600,5.150245
20230131T1700,5.0502453
20230131T1800,5.000245
20230131T1900,4.960245
20230131T2000,4.7002454
20230131T2100,4.4502454
20230131T2200,4.5302453
20230131T2300,4.4802456
